"InChIKey","ClassyFy Status","Kingdom","Superclass","Class","Subclass","Parent Level 1","Parent Level 2","Parent Level 3","Parent Level 4","Parent Level 5"
"NEFYSBQJYCICOG-RJRZVDSCSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids"
"RCNSAJSGRJSBKK-NSQVQWHSSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Tetrapyrroles and derivatives","Bilirubins","Bilirubins"
"DRZYJIXQEOTQDA-VETDSPFISA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids"
"LTMHDMANZUZIPE-QRZBQPCOSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroid lactones","Cardenolides and derivatives","Cardenolide glycosides and derivatives"
"YVOIYLIDBGUQGX-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroidal glycosides","Steroidal glycosides"
"JEIZLWNUBXHADF-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Piperidines","","Piperidines"
"LFRFNLMDZHTVHB-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Polyols","1,2-diols"
"AGNGYMCLFWQVGX-PEQLYWQKSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Alpha amino acids","L-alpha-amino acids"
"IQVQXVFMNOFTMU-FLIBITNWSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Isobenzofurans","","Isobenzofurans"
"KUTDAKOPPDXZDV-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Primary alcohols"
"KTEXNACQROZXEV-SLXBATTESA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Sesquiterpene lactones","Germacranolides and derivatives"
"YHDASZCBNPALIL-HQPFYNDMSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Lactones","Gamma butyrolactones","Gamma butyrolactones"
"VFENFLGNSRQELY-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Delta amino acids and derivatives"
"CCNKTMMNRPJQHV-SFHVURJKSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Diarylheptanoids","Linear diarylheptanoids","Linear diarylheptanoids"
"TVHDZSRRHQKNEZ-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids","Diterpenoids"
"LZAZGDZVFQSCFO-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids","Kaurane diterpenoids"
"OOXBEOHCOCMKAC-UTOQUPLUSA-N","Completed","Organic compounds","Benzenoids","Phenols","Benzenediols","Resorcinols"
"SYGQXRLXOOXDRP-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Glutamic acid and derivatives"
"PHKSUFCCGLWIMC-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids","Colensane and clerodane diterpenoids"
"FDLLEBFMOIHMNM-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Lactones","Gamma butyrolactones","Gamma butyrolactones"
"PBKZJIMGHNPKBJ-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Naphthalenes","Phenylnaphthalenes","Phenylnaphthalenes"
"ZDSBUUDXDQSCSK-DEDYPNTBSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Stilbenes","","Stilbenes"
"BIBMODCOJDZAGU-UFVLLNNXSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Naphthofurans","","Naphthofurans"
"RKAXEWSQYMGBAP-LOGVKIPNSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Fatty acid esters"
"MYXNOIIPXWBFFR-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Coumarins and derivatives","Pyranocoumarins","Angular pyranocoumarins"
"HIKQPXPTFKUOGM-POVULIOGSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids","Acyclic diterpenoids"
"YPWHZCPMOQGCDQ-HMGRVEAOSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid-7-O-glycosides"
"MAWCJLLSYLMLHT-UTRMSSBJSA-N","Completed","Organic compounds","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","","Pyrimidine nucleosides"
"CDTMPWYDQKWYFT-IASWOTTCSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Naphthopyrans","","Naphthopyrans"
"FKMASXTUONWHBB-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides"
"HRNMOJZLZGYPOJ-KHMKGEHISA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids","Aconitane-type diterpenoid alkaloids"
"LABWQTNVUKYYIP-ANNCGNFZSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Diterpene glycosides"
"DZVIFFMYEULLBY-NSOPSRGASA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Triterpene glycosides","Triterpene saponins"
"RTFKMVMUZLBFEW-HEUPFQDZSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Triterpene glycosides","Triterpene saponins"
"JAYAGJDXJIDEKI-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroid lactones","Cardenolides and derivatives","Cardenolide glycosides and derivatives"
"BEJNERDRQOWKJM-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Pyrans","Pyranones and derivatives","Pyranones and derivatives"
"HGVAHYJMDVROLE-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Phenoxyacetic acid derivatives","Phenoxyacetic acid derivatives"
"INOSMXBKABLUIL-KOOLHJLFSA-N","Completed","Organic compounds","Hydrocarbons","Unsaturated hydrocarbons","Branched unsaturated hydrocarbons","Branched unsaturated hydrocarbons"
"TWVJWDMOZJXUID-SDDRHHMPSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","Sesquiterpenoids"
"KNKVJBRMGKXDGO-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Heteroaromatic compounds","","Heteroaromatic compounds"
"ZLPLFUBVEZVYDX-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Coumarins and derivatives","","Coumarins and derivatives"
"KIDYUEHQXIEBGK-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Secondary alcohols","Cyclohexanols"
"PGERTGWKXFAEFR-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Indanes","","Indanes"
"FWDDYLWFBHUEKH-QXGHTHNXSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Terpene lactones"
"RSWGJHLUYNHPMX-ONCXSQPRSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids","Diterpenoids"
"FMEUWIKCSICJBO-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Isochromanequinones","Benzoisochromanequinones","Benzoisochromanequinones"
"QRYRORQUOLYVBU-VBKZILBWSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids","Diterpenoids"
"KJWFOHVSTFGWGZ-YHYXMXQVSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Coumarins and derivatives","Pyranocoumarins","Angular pyranocoumarins"
"FHGZOCAZNHYWAL-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty alcohols","Long-chain fatty alcohols"
"GFDOSVZSTRYXMK-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids","Acyclic diterpenoids"
"PEYUIKBAABKQKQ-WZBLMQSHSA-N","Completed","Organic compounds","Lignans, neolignans and related compounds","Furanoid lignans","","Furanoid lignans"
"KCIQZCNOUZCRGH-VOBQZIQPSA-N","Completed","Organic compounds","Lignans, neolignans and related compounds","Aryltetralin lignans","9,9p-dihydroxyaryltetralin lignans","9,9p-dihydroxyaryltetralin lignans"
"ODJLBQGVINUMMR-HZXDTFASSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroid lactones","Cardenolides and derivatives"
"VXOZCESVZIRHCJ-LNSUSAKYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Ergostane steroids","Ergostane steroids"
"FIOZUJXSEZUYCS-MTSAZYMTSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids","Kaurane diterpenoids"
"BWAZUXQZSXFTJK-VPTIGGDOSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Sesquiterpene lactones","Germacranolides and derivatives"
"HDDNZVWBRRAOGK-QVANJIRPSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Naphthofurans","","Naphthofurans"
"BPEXJHGGARTCIR-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Hydroxy fatty acids"
"KVRQGMOSZKPBNS-FMHLWDFHSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Iridoid O-glycosides"
"AHYOMNWKYGMYMB-CIEFDVMPSA-N","Completed","Organic compounds","Lignans, neolignans and related compounds","Lignan glycosides","","Lignan glycosides"
"NRVMCZSNPIHCNL-KJTZQEHHSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","O-glycosyl compounds"
"RTCISXKUWWQSRF-FKGKEHBJSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Cinnamic acid esters","Cinnamic acid esters"
"QMNWISYXSJWHRY-XWJCTJPOSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroidal glycosides","Steroidal saponins","Cucurbitacin glycosides"
"WBBCTOKMKWQACG-AUEPDCJTSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroidal glycosides","Steroidal glycosides"
"RZGFUGXQKMEMOO-BSANDHCLSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives","Jasmonic acids"
"AQZHBCDRWFMXIN-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans","Dibenzopyrans","Xanthenes","Xanthones"
"TURHNAJJDDIVGC-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Alpha-methyldeoxybenzoin flavonoids","","Alpha-methyldeoxybenzoin flavonoids"
"KOLGVIJQEZBWIQ-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids"
"NBMBQDMXBCIEMX-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives"
"CWVRJTMFETXNAD-JUHZACGLSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Cyclic alcohols and derivatives","Cyclitols and derivatives","Quinic acids and derivatives"
"WYZWZEOGROVVHK-RPJJWQTDSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives"
"GQLVRVYXAHDDLB-PJFSTRORSA-N","Completed","Organic compounds","Lignans, neolignans and related compounds","Aryltetralin lignans","9,9p-dihydroxyaryltetralin lignans","9,9p-dihydroxyaryltetralin lignans"
"HSTZMXCBWJGKHG-BUFXCDORSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Stilbenes","Stilbene glycosides","Stilbene glycosides"
"BHQCQFFYRZLCQQ-OELDTZBJSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Hydroxy bile acids, alcohols and derivatives","Trihydroxy bile acids, alcohols and derivatives"
"KLPUXMNQDCUPNO-DXKBKAGUSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Stilbenes","Stilbene glycosides","Stilbene glycosides"
"SSFXFPCIUUFGJD-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","Sesquiterpenoids"
"UDIXYHJHYVDNOG-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid-7-O-glycosides"
"JSQKCXPOJUGOCX-LWZURRPWSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides"
"PRAUVHZJPXOEIF-AOLYGAPISA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids"
"RWNHLTKFBKYDOJ-IJDLJTCJSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids"
"PEERGVFNQUXNQA-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Saccharolipids","","Saccharolipids"
"DSMWJDJWYGMEBO-PRFRQLEPSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides"
"BEDSGEULUAVXQH-YGCGHWCOSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Cyclic alcohols and derivatives","Cyclitols and derivatives","Quinic acids and derivatives"
"DKRXODJAISNRGA-KIOYJQFDSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Terpene glycosides"
"JYQIWENZJDPRSV-WHJIMDRXSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Diarylheptanoids","Linear diarylheptanoids","Linear diarylheptanoids"
"MACFXELYCBWKGT-VFTFQOQOSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Tannins","","Tannins"
"ZYZHMHXSPPAVCD-HKXMFVAESA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Diarylheptanoids","Linear diarylheptanoids","Linear diarylheptanoids"
"IGQSSJMCEJLHAO-VSMQRMHTSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Oligosaccharides"
"ISHUKYBHEZATMQ-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Stilbenes","Stilbene glycosides","Stilbene glycosides"
"ZVIWXYIZIRJDPV-LOOBPLDSSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides"
"VVWSVSOPOPDXMM-VXHRKZPFSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Triterpene glycosides","Triterpene saponins"
"FBFMBWCLBGQEBU-IDIAXEKKSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Triterpene glycosides","Triterpene saponins"
"ATUHGDXZHWBGHX-SXFANQPWSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Triterpene glycosides","Triterpene saponins"
"ZJVAFHQPKMPTIF-DFHFZADESA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Triterpene glycosides","Triterpene saponins"
